date,device,clicks,impressions,ctr,position
2025-05-01,MOBILE,11,54,0.2037037037037037,51.148148148148145
2025-06-05,MOBILE,10,98,0.10204081632653061,68.28571428571429
2025-06-10,MOBILE,9,62,0.14516129032258066,39.145161290322584
2025-05-07,MOBILE,7,69,0.10144927536231885,51.89855072463768
2025-06-07,MOBILE,6,83,0.07228915662650602,65.73493975903614
2025-06-11,MOBILE,6,52,0.11538461538461539,47.17307692307692
2025-07-29,MOBILE,6,76,0.07894736842105263,58.76315789473684
2025-06-02,MOBILE,5,123,0.04065040650406504,71.83739837398375
2025-05-06,MOBILE,4,42,0.09523809523809523,50.95238095238095
2025-05-09,MOBILE,4,42,0.09523809523809523,59.07142857142857
2025-05-15,MOBILE,4,87,0.04597701149425287,62.50574712643678
2025-05-19,MOBILE,4,79,0.05063291139240506,61.75949367088607
2025-06-01,MOBILE,4,51,0.0784313725490196,61.35294117647059
2025-06-08,MOBILE,4,65,0.06153846153846154,59.276923076923076
2025-06-12,MOBILE,4,52,0.07692307692307693,39.40384615384615
2025-06-15,MOBILE,4,34,0.11764705882352941,46.8235294117647
2025-06-18,MOBILE,4,33,0.12121212121212122,45.303030303030305
2025-12-17,MOBILE,4,38,0.10526315789473684,29.86842105263158
2026-01-02,DESKTOP,4,332,0.012048192771084338,50.894578313253014
2025-04-29,DESKTOP,3,201,0.014925373134328358,63.0547263681592
2025-04-30,MOBILE,3,36,0.08333333333333333,47.611111111111114
2025-05-01,DESKTOP,3,311,0.00964630225080386,71.18006430868168
2025-05-02,DESKTOP,3,310,0.00967741935483871,71.35806451612903
2025-05-02,MOBILE,3,34,0.08823529411764706,55.0
2025-05-16,MOBILE,3,77,0.03896103896103896,54.72727272727273
2025-05-17,MOBILE,3,79,0.0379746835443038,65.29113924050633
2025-05-26,MOBILE,3,88,0.03409090909090909,69.07954545454545
2025-06-03,MOBILE,3,83,0.03614457831325301,69.3132530120482
2025-06-20,MOBILE,3,43,0.06976744186046512,45.97674418604651
2025-07-23,MOBILE,3,90,0.03333333333333333,58.75555555555555
2025-12-07,MOBILE,3,30,0.1,48.666666666666664
2026-02-18,DESKTOP,3,266,0.011278195488721804,51.454887218045116
2026-08-24,MOBILE,3,17,0.17647058823529413,41.23529411764706
2025-04-29,MOBILE,2,28,0.07142857142857142,41.5
2025-05-03,DESKTOP,2,317,0.006309148264984227,72.97160883280758
2025-05-08,MOBILE,2,49,0.04081632653061224,60.755102040816325
2025-05-10,DESKTOP,2,294,0.006802721088435374,74.20748299319727
2025-05-15,DESKTOP,2,391,0.005115089514066497,72.22250639386189
2025-05-20,MOBILE,2,68,0.029411764705882353,65.41176470588235
2025-05-23,DESKTOP,2,331,0.006042296072507553,72.79154078549848
2025-05-29,DESKTOP,2,362,0.0055248618784530384,71.74585635359117
2025-06-09,MOBILE,2,86,0.023255813953488372,70.23255813953489
2025-06-10,DESKTOP,2,400,0.005,72.1825
2025-07-11,MOBILE,2,71,0.028169014084507043,45.15492957746479
2025-07-15,MOBILE,2,108,0.018518518518518517,56.00925925925926
2025-07-16,DESKTOP,2,338,0.005917159763313609,59.26627218934911
2025-07-27,MOBILE,2,74,0.02702702702702703,56.9054054054054
2025-07-28,DESKTOP,2,309,0.006472491909385114,65.71844660194175
2025-08-10,MOBILE,2,58,0.034482758620689655,54.94827586206897
2025-09-08,DESKTOP,2,479,0.0041753653444676405,63.17954070981211
2025-10-12,MOBILE,2,24,0.08333333333333333,18.875
2025-11-23,MOBILE,2,22,0.09090909090909091,20.681818181818183
2025-12-06,MOBILE,2,20,0.1,58.3
2025-12-19,MOBILE,2,48,0.041666666666666664,56.125
2025-12-24,DESKTOP,2,298,0.006711409395973154,48.65771812080537
2026-01-30,MOBILE,2,66,0.030303030303030304,60.09090909090909
2026-02-03,DESKTOP,2,370,0.005405405405405406,40.87567567567567
2026-04-16,DESKTOP,2,296,0.006756756756756757,46.54391891891892
2026-05-03,MOBILE,2,13,0.15384615384615385,28.384615384615383
2026-07-12,DESKTOP,2,326,0.006134969325153374,49.67484662576687
2026-07-25,MOBILE,2,3,0.6666666666666666,33.0
2026-08-19,MOBILE,2,12,0.16666666666666666,40.083333333333336
2025-04-30,DESKTOP,1,287,0.003484320557491289,69.38675958188153
2025-05-03,MOBILE,1,41,0.024390243902439025,62.853658536585364
2025-05-04,MOBILE,1,31,0.03225806451612903,61.58064516129032
2025-05-05,MOBILE,1,76,0.013157894736842105,63.4078947368421
2025-05-06,DESKTOP,1,322,0.003105590062111801,70.04037267080746
2025-05-07,DESKTOP,1,320,0.003125,74.903125
2025-05-08,DESKTOP,1,318,0.0031446540880503146,70.45597484276729
2025-05-09,DESKTOP,1,344,0.0029069767441860465,72.74709302325581
2025-05-10,MOBILE,1,48,0.020833333333333332,66.5625
2025-05-11,MOBILE,1,42,0.023809523809523808,61.785714285714285
2025-05-12,DESKTOP,1,356,0.0028089887640449437,70.68820224719101
2025-05-12,MOBILE,1,57,0.017543859649122806,58.59649122807018
2025-05-18,MOBILE,1,62,0.016129032258064516,63.854838709677416
2025-05-21,MOBILE,1,73,0.0136986301369863,66.67123287671232
2025-05-26,DESKTOP,1,462,0.0021645021645021645,71.491341991342
2025-05-29,MOBILE,1,70,0.014285714285714285,70.47142857142858
2025-06-01,DESKTOP,1,471,0.0021231422505307855,71.03184713375796
2025-06-04,MOBILE,1,81,0.012345679012345678,70.87654320987654
2025-06-06,MOBILE,1,66,0.015151515151515152,73.12121212121212
2025-06-09,DESKTOP,1,560,0.0017857142857142857,72.77142857142857
2025-06-13,DESKTOP,1,243,0.00411522633744856,65.04938271604938
2025-06-18,DESKTOP,1,213,0.004694835680751174,66.96244131455398
2025-06-21,MOBILE,1,41,0.024390243902439025,60.292682926829265
2025-06-22,DESKTOP,1,356,0.0028089887640449437,60.23314606741573
2025-06-22,MOBILE,1,27,0.037037037037037035,45.074074074074076
2025-06-23,DESKTOP,1,318,0.0031446540880503146,58.113207547169814
2025-06-25,MOBILE,1,32,0.03125,61.625
2025-06-28,MOBILE,1,35,0.02857142857142857,59.371428571428574
2025-06-29,DESKTOP,1,315,0.0031746031746031746,65.57777777777778
2025-07-08,DESKTOP,1,283,0.0035335689045936395,66.7173144876325
2025-07-10,DESKTOP,1,400,0.0025,68.305
2025-07-17,MOBILE,1,52,0.019230769230769232,43.55769230769231
2025-07-20,DESKTOP,1,352,0.002840909090909091,61.14772727272727
2025-07-20,MOBILE,1,48,0.020833333333333332,46.375
2025-07-22,DESKTOP,1,436,0.0022935779816513763,64.45183486238531
2025-07-22,MOBILE,1,125,0.008,60.136
2025-07-26,MOBILE,1,52,0.019230769230769232,62.19230769230769
2025-07-27,DESKTOP,1,298,0.003355704697986577,66.81208053691275
2025-07-31,DESKTOP,1,264,0.003787878787878788,61.20454545454545
2025-08-02,MOBILE,1,58,0.017241379310344827,66.65517241379311
2025-08-11,DESKTOP,1,317,0.0031545741324921135,60.35015772870663
2025-08-13,DESKTOP,1,264,0.003787878787878788,62.91287878787879
2025-08-26,DESKTOP,1,375,0.0026666666666666666,62.48266666666667
2025-08-27,DESKTOP,1,386,0.0025906735751295338,61.2279792746114
2025-09-02,DESKTOP,1,369,0.0027100271002710027,63.016260162601625
2025-09-04,DESKTOP,1,430,0.002325581395348837,53.94186046511628
2025-09-09,DESKTOP,1,322,0.003105590062111801,60.891304347826086
2025-09-13,DESKTOP,1,63,0.015873015873015872,36.111111111111114
2025-09-15,MOBILE,1,33,0.030303030303030304,26.666666666666668
2025-09-16,MOBILE,1,23,0.043478260869565216,16.434782608695652
2025-09-20,MOBILE,1,14,0.07142857142857142,24.928571428571427
2025-09-23,DESKTOP,1,118,0.00847457627118644,37.78813559322034
2025-09-24,DESKTOP,1,156,0.00641025641025641,43.36538461538461
2025-09-26,MOBILE,1,16,0.0625,20.1875
2025-10-02,MOBILE,1,21,0.047619047619047616,29.571428571428573
2025-10-05,DESKTOP,1,167,0.005988023952095809,32.08982035928143
2025-10-06,MOBILE,1,21,0.047619047619047616,18.38095238095238
2025-10-11,DESKTOP,1,189,0.005291005291005291,33.29100529100529
2025-10-14,DESKTOP,1,295,0.003389830508474576,37.40338983050847
2025-10-16,DESKTOP,1,237,0.004219409282700422,34.38396624472574
2025-10-19,DESKTOP,1,189,0.005291005291005291,34.95238095238095
2025-10-21,MOBILE,1,30,0.03333333333333333,21.433333333333334
2025-10-22,DESKTOP,1,269,0.0037174721189591076,35.56505576208178
2025-10-24,DESKTOP,1,220,0.004545454545454545,34.018181818181816
2025-10-28,DESKTOP,1,248,0.004032258064516129,32.86693548387097
2025-10-30,DESKTOP,1,289,0.0034602076124567475,38.9204152249135
2025-11-01,MOBILE,1,18,0.05555555555555555,39.666666666666664
2025-11-03,DESKTOP,1,153,0.006535947712418301,33.51633986928105
2025-11-06,DESKTOP,1,208,0.004807692307692308,34.21153846153846
2025-11-11,DESKTOP,1,167,0.005988023952095809,44.33532934131737
2025-11-20,DESKTOP,1,237,0.004219409282700422,45.540084388185655
2025-11-22,MOBILE,1,7,0.14285714285714285,10.571428571428571
2025-11-26,MOBILE,1,8,0.125,58.0
2025-11-28,MOBILE,1,13,0.07692307692307693,28.615384615384617
2025-12-02,MOBILE,1,4,0.25,29.25
2025-12-12,DESKTOP,1,218,0.0045871559633027525,43.38990825688074
2025-12-16,DESKTOP,1,359,0.002785515320334262,44.799442896935936
2025-12-16,MOBILE,1,15,0.06666666666666667,59.53333333333333
2025-12-18,DESKTOP,1,390,0.002564102564102564,46.63333333333333
2025-12-18,MOBILE,1,32,0.03125,48.6875
2025-12-20,MOBILE,1,31,0.03225806451612903,65.80645161290323
2025-12-23,MOBILE,1,17,0.058823529411764705,59.88235294117647
2025-12-26,DESKTOP,1,290,0.0034482758620689655,46.57931034482758
2025-12-26,MOBILE,1,46,0.021739130434782608,45.26086956521739
2025-12-27,DESKTOP,1,253,0.003952569169960474,46.88142292490119
2025-12-30,DESKTOP,1,368,0.002717391304347826,47.20652173913044
2025-12-30,MOBILE,1,48,0.020833333333333332,45.270833333333336
2026-01-01,MOBILE,1,33,0.030303030303030304,82.06060606060606
2026-01-03,MOBILE,1,37,0.02702702702702703,53.189189189189186
2026-01-04,DESKTOP,1,264,0.003787878787878788,55.71212121212121
2026-01-06,DESKTOP,1,321,0.003115264797507788,46.25545171339564
2026-01-07,DESKTOP,1,368,0.002717391304347826,52.48641304347826
2026-01-10,DESKTOP,1,434,0.002304147465437788,51.61290322580645
2026-01-11,DESKTOP,1,363,0.0027548209366391185,53.247933884297524
2026-01-12,DESKTOP,1,362,0.0027624309392265192,45.11878453038674
2026-01-14,MOBILE,1,58,0.017241379310344827,60.39655172413793
2026-01-15,DESKTOP,1,312,0.003205128205128205,49.44871794871795
2026-01-20,DESKTOP,1,478,0.0020920502092050207,50.66945606694561
2026-01-23,DESKTOP,1,326,0.003067484662576687,47.93251533742331
2026-01-24,DESKTOP,1,415,0.0024096385542168677,53.36385542168675
2026-01-26,DESKTOP,1,336,0.002976190476190476,44.32142857142857
2026-01-27,DESKTOP,1,346,0.002890173410404624,52.61849710982659
2026-01-28,DESKTOP,1,293,0.0034129692832764505,54.30716723549488
2026-02-07,DESKTOP,1,322,0.003105590062111801,43.17391304347826
2026-02-07,MOBILE,1,20,0.05,46.55
2026-02-09,MOBILE,1,34,0.029411764705882353,49.61764705882353
2026-02-11,DESKTOP,1,357,0.0028011204481792717,42.88515406162465
2026-02-16,MOBILE,1,44,0.022727272727272728,64.38636363636363
2026-02-17,DESKTOP,1,264,0.003787878787878788,49.46969696969697
2026-02-23,DESKTOP,1,210,0.004761904761904762,48.404761904761905
2026-02-24,DESKTOP,1,370,0.002702702702702703,37.33513513513513
2026-02-26,DESKTOP,1,297,0.003367003367003367,52.582491582491585
2026-02-27,DESKTOP,1,246,0.0040650406504065045,51.3780487804878
2026-03-01,DESKTOP,1,217,0.004608294930875576,51.67741935483871
2026-03-01,MOBILE,1,28,0.03571428571428571,40.32142857142857
2026-03-02,MOBILE,1,28,0.03571428571428571,35.107142857142854
2026-03-03,DESKTOP,1,371,0.0026954177897574125,42.35579514824798
2026-03-03,MOBILE,1,32,0.03125,29.125
2026-03-04,MOBILE,1,34,0.029411764705882353,46.85294117647059
