page,clicks,impressions,ctr,position
https://azwebcorp.com/,0,128,0,37.515625
https://azwebcorp.com/2020/07/29/best-internal-linking-plugins-wordpress/,0,9,0,78.88888888888889
https://azwebcorp.com/2020/07/29/how-much-does-seo-cost-in-arizona/,0,3,0,73.33333333333333
https://azwebcorp.com/about-azwebcorp/,0,6,0,76.66666666666667
https://azwebcorp.com/arizona-backend-development/,0,81,0,53.17283950617284
https://azwebcorp.com/arizona-digital-marketing/,0,2,0,22.5
https://azwebcorp.com/arizona-seo-services/,0,8,0,27.5
https://azwebcorp.com/arizona-web-development/,0,42,0,45.0
https://azwebcorp.com/category/digital-marketing/,0,8,0,66.75
https://azwebcorp.com/contact-us/,0,1,0,48.0
https://azwebcorp.com/frontend-development/,0,26,0,56.96153846153846
https://azwebcorp.com/mobile-app-development-services-arizona/,0,78,0,40.96153846153846
https://azwebcorp.com/tech/,0,6,0,55.5
